uid,svt,updated_millis,user_uid,baby_uid,type,start_millis,notes,group_uid,end_millis,pause_millis,duration,left_duration,right_duration,in_progress,side,pee,poo,hair_wash,temperature,volume,amount,amount_unit,reaction
bjvqjjqqrdbvdIUMFJTATCHOARPTQPX7,1652756916664,1652756916213,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,pump,1652755456665,,,0,0,0,0,0,0,both,0,0,0,0.0,350.0,0.0,,
scpwrexlmofvsnaebkjfB25450158828,1652779365962,1652779365854,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,pump,1652779364333,,,0,0,0,0,0,0,both,0,0,0,0.0,350.0,0.0,,
hlKDQHUAP33757430436351200788555,1652782486642,1652782486134,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652782485303,,,0,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,,
fuwiebqmhbojuecoomsmfulRFV252783,1652782558961,1652782558410,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1652782492242,,,0,0,0,0,0,0,,0,0,0,0.0,150.0,0.0,,
gqvncigxvsjoomeyllqktdysynVJC550,1652785882025,1652785881515,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652785880303,,,0,0,0,0,0,0,,1,1,0,0.0,0.0,0.0,,
ikkvfpklujcyypHTJBWLPFAWVNQEW674,1652792626190,1652792625117,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652785882991,,,1652792625117,0,6742126,0,0,0,,0,0,0,0.0,0.0,0.0,,
tkaJ6116875562402114845186558166,1652793151184,1652793150642,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652793149956,,,0,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,,
ncewWPKDIVUTYKBOUOGDDJDNKGKJ6500,1652794113907,1652794113381,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,tummy_time,1652793152351,,,1652794113381,0,961030,0,0,0,,0,0,0,0.0,0.0,0.0,,
yuycmjgKDOCYTLKXTHEULHMERGXLXR50,1652794121621,1652794121092,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1652794115053,,,0,0,0,0,0,0,,0,0,0,0.0,160.0,0.0,,
ouynhbfnEHFODRUDA154578653214314,1652796881214,1652796880679,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652796879667,,,0,0,0,0,0,0,,1,1,0,0.0,0.0,0.0,,
ufokfkwlupietYR66327254047186205,1652801912372,1652801911232,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652799562489,,,1652801911232,0,2348743,0,0,0,,0,0,0,0.0,0.0,0.0,,
pQNPMQGTQHGWLXUNM854704440016235,1652804946113,1652804945569,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,tummy_time,1652803941779,,,1652804945569,0,1003790,0,0,0,,0,0,0,0.0,0.0,0.0,,
mafrV506337352585256676856300538,1652805048278,1652805047751,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1652805045883,,,0,0,0,0,0,0,,0,0,0,0.0,150.0,0.0,,
giXBEIH2836760420827635814434120,1652809999293,1652809999131,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,bath,1652809996232,,,0,0,0,0,0,0,,0,0,1,0.0,0.0,0.0,,liked
woHIAEYNNMXRQRKNUYHIYP5424028356,1652810004390,1652810004282,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652810002707,,,0,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,,
yfVOIVAGQEFRTKAFOSNBGS5671375203,1652813480485,1652813479918,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652810700000,,,1652813479918,0,2779918,0,0,0,,0,0,0,0.0,0.0,0.0,,
T5424273645066468823616625352314,1652811994968,1652811994667,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,pump,1652810182526,,,0,0,0,0,0,0,both,0,0,0,0.0,350.0,0.0,,
rsfnxntutimybghxmhXY322055713342,1652815689111,1652815688569,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,tummy_time,1652814647450,,,1652815688569,0,1041119,0,0,0,,0,0,0,0.0,0.0,0.0,,
cbifVLLQ462378570146673086076416,1652815837487,1652815836974,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1652815835592,,,0,0,0,0,0,0,,0,0,0,0.0,150.0,0.0,,
oabppjdtmtfirhrbS160511303368126,1652826565480,1652826565328,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652821915268,,,1652826565328,0,4650060,0,0,0,,0,0,0,0.0,0.0,0.0,,
07118643424341744345650272738101,1652826988612,1652826987137,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,tummy_time,1652826567760,,,1652826987137,0,419377,0,0,0,,0,0,0,0.0,0.0,0.0,,
tevxdlxuosufehuvLHKTPRUTX6464830,1652827011022,1652827010290,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652821740000,,,0,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,,
SEANFOTIICX774857068277465831828,1652828864023,1652828863529,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1652827032482,,,0,0,0,0,0,0,,0,0,0,0.0,170.0,0.0,,
